date, value
15-Jul-1975,0.5448
16-Jul-1975,0.55
17-Jul-1975,0.57
18-Jul-1975,0.59
21-Jul-1975,0.61
22-Jul-1975,0.65
23-Jul-1975,0.69
24-Jul-1975,0.73
25-Jul-1975,0.77
28-Jul-1975,0.81
29-Jul-1975,0.8223
30-Jul-1975,0.8345
31-Jul-1975,0.8405
1-Aug-1975,0.849
4-Aug-1975,0.879
5-Aug-1975,0.854
6-Aug-1975,0.85
7-Aug-1975,0.8335
8-Aug-1975,0.848
11-Aug-1975,0.839
12-Aug-1975,0.836
13-Aug-1975,0.8375
14-Aug-1975,0.8435
15-Aug-1975,0.862
18-Aug-1975,0.8665
19-Aug-1975,0.8617
20-Aug-1975,0.86
21-Aug-1975,0.8437
22-Aug-1975,0.8385
25-Aug-1975,0.821
26-Aug-1975,0.8337
27-Aug-1975,0.8415
28-Aug-1975,0.8434
29-Aug-1975,0.8376
2-Sep-1975,0.823
3-Sep-1975,0.8015
4-Sep-1975,0.816
5-Sep-1975,0.8135
8-Sep-1975,0.7945
9-Sep-1975,0.797
10-Sep-1975,0.784
11-Sep-1975,0.785
12-Sep-1975,0.8051
15-Sep-1975,0.822
16-Sep-1975,0.8247
17-Sep-1975,0.8178
18-Sep-1975,0.822
19-Sep-1975,0.8335
22-Sep-1975,0.829
23-Sep-1975,0.8365
24-Sep-1975,0.829
25-Sep-1975,0.8248
26-Sep-1975,0.8215
29-Sep-1975,0.816
30-Sep-1975,0.8093
1-Oct-1975,0.809
2-Oct-1975,0.811
3-Oct-1975,0.819
6-Oct-1975,0.8215
7-Oct-1975,0.8115
8-Oct-1975,0.8
9-Oct-1975,0.81
10-Oct-1975,0.8125
14-Oct-1975,0.81
15-Oct-1975,0.805
16-Oct-1975,0.8137
17-Oct-1975,0.8187
20-Oct-1975,0.8122
21-Oct-1975,0.8095
22-Oct-1975,0.8035
23-Oct-1975,0.8055
24-Oct-1975,0.802
27-Oct-1975,0.8075
28-Oct-1975,0.808
29-Oct-1975,0.8119
30-Oct-1975,0.8083
31-Oct-1975,0.801
3-Nov-1975,0.791
5-Nov-1975,0.7765
6-Nov-1975,0.7737
7-Nov-1975,0.773
10-Nov-1975,0.7715
12-Nov-1975,0.757
13-Nov-1975,0.7582
14-Nov-1975,0.767
17-Nov-1975,0.7665
18-Nov-1975,0.7753
19-Nov-1975,0.7685
20-Nov-1975,0.7825
24-Nov-1975,0.7775
25-Nov-1975,0.777
26-Nov-1975,0.7802
28-Nov-1975,0.8012
1-Dec-1975,0.7935
2-Dec-1975,0.7965
3-Dec-1975,0.7968
4-Dec-1975,0.7948
5-Dec-1975,0.794
8-Dec-1975,0.81
9-Dec-1975,0.8088
10-Dec-1975,0.8235
11-Dec-1975,0.826
12-Dec-1975,0.8345
15-Dec-1975,0.8545
16-Dec-1975,0.8605
17-Dec-1975,0.8548
18-Dec-1975,0.8715
